iter	RMSE
0	14.62456878
1	14.23607334
2	13.87236985
3	13.54569272
4	13.21947217
5	12.92502597
6	12.60341348
7	12.29433259
8	12.00570834
9	11.72342767
10	11.48208873
11	11.23601165
12	10.98760318
13	10.74192206
14	10.50347949
15	10.28350774
16	10.07574341
17	9.882498151
18	9.727379727
19	9.52303773
20	9.335589327
21	9.167141356
22	9.026642926
23	8.861065615
24	8.696730583
25	8.552373776
26	8.415447527
27	8.293344382
28	8.173210434
29	8.044891548
30	7.922883538
31	7.804807099
32	7.697106341
33	7.598566623
34	7.513836891
35	7.415878567
36	7.322562542
37	7.235555249
38	7.161150627
39	7.08042975
40	7.006216849
41	6.933622376
42	6.856503947
43	6.793482695
44	6.727122433
45	6.671479784
46	6.614101449
47	6.56542259
48	6.511621644
49	6.450221762
50	6.402325366
51	6.355080355
52	6.307698777
53	6.265652093
54	6.234073213
55	6.190817762
56	6.150542248
57	6.1160696
58	6.086522091
59	6.04881967
60	6.013194031
61	5.978184671
62	5.947737351
63	5.919570125
64	5.884162192
65	5.851506193
66	5.827012957
67	5.799957673
68	5.780834844
69	5.755249866
70	5.736949294
71	5.714862707
72	5.692878581
73	5.668914704
74	5.647102984
75	5.629050994
76	5.610177355
77	5.592218543
78	5.571207647
79	5.5491964
80	5.52525543
81	5.509031236
82	5.488921974
83	5.475473773
84	5.462470878
85	5.447074717
86	5.430522051
87	5.418775169
88	5.410321328
89	5.39396909
90	5.382034043
91	5.367312135
92	5.35725799
93	5.348142095
94	5.332895893
95	5.321260542
96	5.311553512
97	5.304214023
98	5.298419243
99	5.293142089
100	5.28674439
101	5.275814803
102	5.266086638
103	5.257797909
104	5.246606125
105	5.239784482
106	5.2296703
107	5.218561997
108	5.210617097
109	5.198641162
110	5.190086287
111	5.179357516
112	5.171035937
113	5.163536719
114	5.15398743
115	5.143410261
116	5.134404406
117	5.126746174
118	5.118277336
119	5.114136586
120	5.104725337
121	5.095312749
122	5.089181195
123	5.083154299
124	5.07616167
125	5.065345076
126	5.058954331
127	5.05042487
128	5.040112441
129	5.034967672
130	5.030214499
131	5.021496711
132	5.011936882
133	5.00414759
134	4.996530258
135	4.988217366
136	4.980468478
137	4.971042264
138	4.963839334
139	4.959726957
140	4.954438865
141	4.949237581
142	4.943760273
143	4.937008907
144	4.932641305
145	4.920522849
146	4.917876611
147	4.911482046
148	4.906242301
149	4.897786139
150	4.891737092
151	4.886579731
152	4.879167279
153	4.87363046
154	4.869913937
155	4.866061307
156	4.861809134
157	4.856494585
158	4.850424252
159	4.845729519
160	4.838186023
161	4.829955361
162	4.82374619
163	4.819636193
164	4.817321483
165	4.813337194
166	4.809571394
167	4.803288961
168	4.797704904
169	4.791545638
170	4.789036571
171	4.78111073
172	4.778131294
173	4.772286642
174	4.767485233
175	4.762813688
176	4.756441484
177	4.751856625
178	4.748547501
179	4.743916045
180	4.739667726
181	4.735269178
182	4.729293086
183	4.724598786
184	4.719073028
185	4.713853326
186	4.707455351
187	4.697857688
188	4.694310635
189	4.690914753
190	4.687878984
191	4.683036798
192	4.677589896
193	4.674613724
194	4.671942595
195	4.667964107
196	4.662104573
197	4.657013265
198	4.653152312
199	4.648010312
200	4.642185059
201	4.636988546
202	4.630378051
203	4.627614411
204	4.623785212
205	4.620823344
206	4.616072985
207	4.61299408
208	4.608244949
209	4.605148129
210	4.600958744
211	4.59742399
212	4.594796813
213	4.592159832
214	4.588823946
215	4.584854242
216	4.580042661
217	4.577133477
218	4.572689296
219	4.567859817
220	4.562211319
221	4.560917817
222	4.555930704
223	4.553988183
224	4.551541901
225	4.548846269
226	4.544989508
227	4.541838957
228	4.540350727
229	4.533727083
230	4.52999736
231	4.528116482
232	4.527022827
233	4.52294239
234	4.518272752
235	4.511316218
236	4.505644317
237	4.501615867
238	4.49879244
239	4.496729928
240	4.492933145
241	4.486944581
242	4.485207615
243	4.480229219
244	4.478978381
245	4.472170535
246	4.471041398
247	4.467319559
248	4.459291314
249	4.458235384
250	4.45699887
251	4.448608311
252	4.445473718
253	4.442389214
254	4.438271328
255	4.436576541
256	4.432478475
257	4.428530454
258	4.424288499
259	4.420109414
260	4.419250475
261	4.416136393
262	4.41466654
263	4.40913278
264	4.405383892
265	4.402723494
266	4.397656301
267	4.394554693
268	4.393290659
269	4.390381743
270	4.389332833
271	4.388150521
272	4.383377867
273	4.382416208
274	4.379995623
275	4.376206947
276	4.367041717
277	4.366532579
278	4.362582871
279	4.36146873
280	4.357062952
281	4.353837015
282	4.352995974
283	4.351561516
284	4.350893581
285	4.349860304
286	4.344220157
287	4.343584661
288	4.33752683
289	4.335700072
290	4.331231205
291	4.327686277
292	4.32221782
293	4.318354198
294	4.317477698
295	4.313156872
296	4.304885831
297	4.301691235
298	4.297282885
299	4.292050941
300	4.289978473
301	4.287810512
302	4.282343416
303	4.274726309
304	4.274016524
305	4.271454395
306	4.267006125
307	4.259058707
308	4.251068305
309	4.250393876
310	4.247419577
311	4.242832935
312	4.240011894
313	4.234968725
314	4.23083056
315	4.222973373
316	4.219206319
317	4.214391568
318	4.211345015
319	4.209359632
320	4.205632501
321	4.199771046
322	4.195522106
323	4.193031878
324	4.187971848
325	4.180083175
326	4.1795409
327	4.179018884
328	4.174825584
329	4.168658323
330	4.162228736
331	4.153969441
332	4.147350451
333	4.143011365
334	4.14041656
335	4.134434676
336	4.128845541
337	4.127025349
338	4.121202728
339	4.117986284
340	4.114866743
341	4.107523787
342	4.101206387
343	4.09977987
344	4.096829812
345	4.090339688
346	4.087644061
347	4.081934717
348	4.078518419
349	4.075144833
350	4.070892481
351	4.065140579
352	4.0611358
353	4.058198699
354	4.052904888
355	4.049000636
356	4.0458885
357	4.041121496
358	4.035675325
359	4.032523093
360	4.032101014
361	4.026129119
362	4.024410665
363	4.018310166
364	4.01160424
365	4.004794697
366	4.003376056
367	3.997879499
368	3.992789036
369	3.990938752
370	3.9905071
371	3.986283995
372	3.983215817
373	3.978366862
374	3.975593307
375	3.972301353
376	3.971795493
377	3.970177303
378	3.967439294
379	3.964136042
380	3.958918704
381	3.956388194
382	3.953587596
383	3.951385877
384	3.94732233
385	3.946834043
386	3.946323178
387	3.94330111
388	3.938486437
389	3.934455994
390	3.931784263
391	3.929397325
392	3.928391456
393	3.92472048
394	3.921517636
395	3.918404319
396	3.914684588
397	3.909591597
398	3.903217874
399	3.900058737
400	3.896965556
401	3.895609623
402	3.892219414
403	3.886880267
404	3.880878543
405	3.878885027
406	3.875239564
407	3.868186748
408	3.865738982
409	3.861879736
410	3.856077972
411	3.85088309
412	3.846603922
413	3.843087206
414	3.83730804
415	3.833863863
416	3.831282666
417	3.828491706
418	3.825755473
419	3.825364465
420	3.819548276
421	3.81546404
422	3.811624758
423	3.807931787
424	3.804681395
425	3.802620359
426	3.800558159
427	3.797994671
428	3.796124901
429	3.793152662
430	3.788603844
431	3.780792961
432	3.777656467
433	3.774234491
434	3.772041818
435	3.76972094
436	3.766536629
437	3.765349043
438	3.760993052
439	3.755848708
440	3.751365967
441	3.747042875
442	3.746190739
443	3.741227216
444	3.736235135
445	3.732845363
446	3.726665446
447	3.723463057
448	3.71897979
449	3.717002101
450	3.713504011
451	3.709104437
452	3.704955884
453	3.702456555
454	3.699095028
455	3.696992552
456	3.696731761
457	3.693540843
458	3.690421009
459	3.686239974
460	3.679655899
461	3.675607454
462	3.673525915
463	3.671683342
464	3.668715902
465	3.666221679
466	3.66506988
467	3.66175184
468	3.659506435
469	3.655992178
470	3.652440366
471	3.649243568
472	3.647368317
473	3.646903644
474	3.644759384
475	3.642026616
476	3.638800027
477	3.635495163
478	3.633847376
479	3.630605249
480	3.627109376
481	3.624392042
482	3.621698867
483	3.621270396
484	3.618967639
485	3.61585091
486	3.612347668
487	3.606411937
488	3.603283813
489	3.600236743
490	3.598213458
491	3.597855396
492	3.594907012
493	3.592319031
494	3.591219434
495	3.58840227
496	3.583848186
497	3.580885448
498	3.57687757
499	3.573098816
500	3.570969429
501	3.568953187
502	3.565235126
503	3.563075166
504	3.55804937
505	3.555149126
506	3.549464077
507	3.545425184
508	3.542153775
509	3.537767035
510	3.533283831
511	3.531208045
512	3.527310116
513	3.525126708
514	3.520321317
515	3.515603919
516	3.515203043
517	3.514066006
518	3.506919849
519	3.505123437
520	3.503381175
521	3.501533137
522	3.497204035
523	3.496181772
524	3.491825606
525	3.486055808
526	3.484553645
527	3.479223819
528	3.474977917
529	3.472258785
530	3.469077991
531	3.466224313
532	3.464323106
533	3.462066117
534	3.460513833
535	3.456060369
536	3.450952392
537	3.449011448
538	3.446708103
539	3.44428921
540	3.440490899
541	3.433728201
542	3.42952735
543	3.426378573
544	3.423004346
545	3.420708205
546	3.418750128
547	3.417209249
548	3.413695019
549	3.410095068
550	3.407513816
551	3.405361876
552	3.401155074
553	3.398315707
554	3.396858499
555	3.396475672
556	3.394289568
557	3.392261432
558	3.387340766
559	3.383342954
560	3.379769242
561	3.376525106
562	3.37429355
563	3.371075954
564	3.364795948
565	3.360016601
566	3.358336009
567	3.355907213
568	3.351701067
569	3.348835236
570	3.343414418
571	3.338190323
572	3.335805786
573	3.332092713
574	3.327934078
575	3.325963811
576	3.324499771
577	3.32286592
578	3.320319738
579	3.317579867
580	3.31284327
581	3.310040449
582	3.308033258
583	3.307171961
584	3.302737717
585	3.301443412
586	3.300050528
587	3.298261033
588	3.294741511
589	3.291592626
590	3.288569165
591	3.287100177
592	3.2846438
593	3.281195527
594	3.277815944
595	3.276279107
596	3.274448679
597	3.271771598
598	3.270369417
599	3.26960924
600	3.266317157
601	3.264031387
602	3.262648979
603	3.259203764
604	3.256952427
605	3.254066962
606	3.252215054
607	3.249789624
608	3.248433107
609	3.246486028
610	3.244353431
611	3.240005086
612	3.235314661
613	3.232240981
614	3.230254239
615	3.227912969
616	3.226075276
617	3.224368195
618	3.22312953
