iter	Passed	Remaining
0	1	1293
1	2	1157
2	3	1136
3	4	1111
4	5	1088
5	6	1068
6	7	1061
7	8	1054
8	9	1043
9	10	1035
10	11	1033
11	12	1031
12	13	1032
13	14	1027
14	15	1022
15	16	1018
16	17	1013
17	18	1010
18	19	981
19	20	980
20	21	979
21	22	978
22	23	977
23	23	975
24	24	974
25	25	973
26	27	976
27	28	979
28	29	981
29	30	982
30	31	982
31	32	982
32	33	981
33	34	980
34	35	970
35	36	969
36	37	967
37	38	965
38	39	964
39	40	963
40	41	962
41	42	961
42	43	960
43	44	961
44	45	960
45	46	961
46	47	964
47	48	967
48	49	967
49	50	967
50	51	966
51	52	964
52	53	963
53	54	962
54	56	962
55	57	961
56	58	960
57	59	961
58	60	966
59	61	966
60	62	965
61	63	963
62	64	963
63	65	961
64	66	960
65	67	959
66	68	954
67	69	948
68	69	942
69	70	936
70	71	931
71	71	923
72	72	918
73	73	914
74	73	912
75	74	908
76	75	903
77	76	900
78	77	904
79	78	907
80	81	923
81	82	919
82	82	914
83	83	910
84	84	905
85	84	900
86	85	898
87	86	894
88	86	886
89	87	883
90	88	879
91	88	876
92	89	873
93	90	873
94	91	872
95	92	869
96	92	865
97	93	861
98	93	854
99	94	848
100	95	845
101	95	841
102	96	838
103	96	833
104	97	830
105	98	828
106	98	824
107	99	821
108	100	818
109	100	815
110	101	815
111	102	813
112	103	810
113	103	807
114	104	803
115	105	800
116	105	797
117	106	794
118	106	791
119	107	788
120	108	785
121	108	782
122	109	780
123	110	778
124	110	775
125	111	773
126	112	770
127	112	767
128	113	765
129	113	762
130	114	757
131	114	755
132	115	753
133	116	751
134	117	749
135	117	747
136	118	745
137	118	742
138	119	740
139	120	738
140	120	735
141	121	733
142	121	731
143	122	728
144	123	726
145	123	724
146	124	720
147	124	718
148	125	717
149	126	715
150	126	713
151	127	711
152	128	709
153	128	707
154	129	704
155	129	702
156	130	701
157	131	701
158	132	699
159	132	697
160	133	695
161	134	693
162	134	691
163	135	689
164	135	687
165	136	685
166	137	683
167	137	682
168	138	680
